Region ID,Region Name,RP ID,Start Date,Station Count,Retail Average
8724,"ZIP - 8724",3,"04/17/2013",5,3.431000
8723,"ZIP - 8723",3,"12/20/2010",8,2.907750
8723,"ZIP - 8723",3,"06/24/2022",12,4.932333
8723,"ZIP - 8723",3,"12/17/2015",11,1.890818
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"02/26/2014",289,3.376785
8723,"ZIP - 8723",3,"10/11/2019",11,2.508091
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"07/18/2022",321,4.610028
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/17/2015",321,2.616570
8724,"ZIP - 8724",3,"01/03/2013",6,3.344000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"02/06/2011",229,3.023061
8724,"ZIP - 8724",3,"08/20/2013",5,3.573000
8724,"ZIP - 8724",3,"09/15/2015",5,2.199000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/30/2019",290,2.833034
8724,"ZIP - 8724",3,"06/25/2015",5,2.605000
8724,"ZIP - 8724",3,"05/14/2021",6,3.172333
8724,"ZIP - 8724",3,"04/29/2013",5,3.397000
8723,"ZIP - 8723",3,"03/26/2021",11,2.964455
8723,"ZIP - 8723",3,"02/11/2016",12,1.623167
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/28/2010",187,2.603439
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"11/03/2013",203,3.155897
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/05/2021",312,2.900731
8724,"ZIP - 8724",3,"08/11/2015",5,2.481000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/06/2019",280,2.353607
8723,"ZIP - 8723",3,"01/22/2020",11,2.633545
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"04/21/2017",319,2.465238
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"12/08/2017",326,2.522712
8724,"ZIP - 8724",3,"12/25/2012",3,3.345667
8724,"ZIP - 8724",3,"01/25/2017",7,2.464714
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"10/13/2015",318,1.984912
8723,"ZIP - 8723",3,"11/21/2020",10,2.307000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"12/15/2020",317,2.363196
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/09/2010",214,2.587458
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"10/27/2020",313,2.258329
8723,"ZIP - 8723",3,"05/13/2019",12,2.904000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/30/2018",312,2.883936
8723,"ZIP - 8723",3,"10/05/2015",11,1.953545
